"home_team","away_team","def_team_q1","def_team_q3","def_team_ot","def_direction_q1","def_direction_q3","def_direction_ot","file_name","game_id"
"NYJ","BUF","NYJ","BUF",NA,"east","west",NA,"57147_NYJ_Gamebook_2016.pdf","BUF_NYJ_2016"
"PHI","DAL","PHI","DAL",NA,"north","south",NA,"57148_PHI_Gamebook_2016.pdf","DAL_PHI_2016"
"PIT","CLV","PIT","CLV","PIT","north","south","south","57149_PIT_Gamebook_2016.pdf","CLV_PIT_2016"
"TB","CAR","CAR","TB",NA,"north","north",NA,"57150_TB_Gamebook_2016.pdf","CAR_TB_2016"
"TEN","HST","HST","TEN",NA,"south","north",NA,"57151_TEN_Gamebook_2016.pdf","HST_TEN_2016"
"WAS","NYG","NYG","WAS",NA,"east","west",NA,"57152_WAS_Gamebook_2016.pdf","NYG_WAS_2016"
"DEN","OAK","OAK","DEN",NA,NA,"south",NA,"57153_DEN_Gamebook_2016.pdf","OAK_DEN_2016"
"LA","ARZ","LA","ARZ",NA,"west",NA,NA,"57154_LA_Gamebook_2016.pdf","ARZ_LA_2016"
"SD","KC","KC","SD",NA,"east","east",NA,"57155_SD_Gamebook_2016.pdf","KC_SD_2016"
"SF","SEA","SEA","SF",NA,"north","north",NA,"57156_SF_Gamebook_2016.pdf","SEA_SF_2016"
